"sample_id","Shannon","Simpson","subject_id","visit_number","sample_body_site","study_full_name","project_name"
"ep312275_k50_mv1d",2.2751295970002,0.788132421623452,"e50d0c183689e4053ccb35f8b29e9fe9",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep312275_k60_mv1d",2.36752518268654,0.826202112087271,"e50d0c183689e4053ccb35f8b29e9fe9",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep313109_k10_mv1d",1.20414586206251,0.653335873880745,"e50d0c183689e4053ccb35f8b29ea094",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep313109_k20_mv1d",1.51805897588914,0.620427363583443,"e50d0c183689e4053ccb35f8b29ea094",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep313109_k30_mv1d",2.2247190931228,0.809177198511945,"e50d0c183689e4053ccb35f8b29ea094",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep313109_k40_mv1d",2.35550357001811,0.841527777777778,"e50d0c183689e4053ccb35f8b29ea094",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep313641_k10_mv1d",1.59021022486117,0.751199989659158,"e50d0c183689e4053ccb35f8b29eae56",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep313641_k20_mv1d",1.45860693940691,0.703677485170002,"e50d0c183689e4053ccb35f8b29eae56",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep313641_k30_mv1d",1.3957262773197,0.718729305831638,"e50d0c183689e4053ccb35f8b29eae56",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep313641_k40_mv1d",1.28599435215951,0.686413073546712,"e50d0c183689e4053ccb35f8b29eae56",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep314756_k10_mv1d",0.911406229585542,0.357074275881217,"76612bd9a41885add4f6b0b7684185fe",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep314756_k120_mv1d",1.11750378438692,0.552861594635544,"76612bd9a41885add4f6b0b7684185fe",12,"vagina","momspi","Integrative Human Microbiome Project"
"ep314756_k20_mv1d",1.34647971067649,0.562955367748265,"76612bd9a41885add4f6b0b7684185fe",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep314756_k30_mv1d",0.216493481145689,0.0593526676690721,"76612bd9a41885add4f6b0b7684185fe",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep314756_k40_mv1d",0.781325066095385,0.36790054665734,"76612bd9a41885add4f6b0b7684185fe",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep314756_k50_mv1d",0.17511890859578,0.0427559919093922,"76612bd9a41885add4f6b0b7684185fe",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep315426_k30_mv1d",0.458120683141986,0.155020864428204,"e50d0c183689e4053ccb35f8b29eba2e",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep315426_k40_mv1d",0.238626110657959,0.0800197551001843,"e50d0c183689e4053ccb35f8b29eba2e",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep315426_k50_mv1d",0.519423834442214,0.161122452391568,"e50d0c183689e4053ccb35f8b29eba2e",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep316551_k10_mv1d",1.16137140699036,0.630196007701573,"858ed4564f11795ec13dda4c10a3c5d4",1,"vagina","momspi","Integrative Human Microbiome Project"
